JobID           JobName  Partition    Account  AllocCPUS      State ExitCode 
3239693_2997 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2998 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2999 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3000 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3001 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3002 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3003 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3004 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3005 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3006 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3007 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3008 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3009 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3010 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3011 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3012 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3013 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3014 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3015 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3016 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3017 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3018 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3019 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3020 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3021 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3022 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3023 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3024 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3025 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3026 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3027 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3028 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3029 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3030 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3031 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3032 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3033 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3034 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3035 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3036 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3037 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3038 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3039 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3040 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3252 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3253 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3254 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3255 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3256 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3258 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3259 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3260 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3261 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3262 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3263 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3264 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3265 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3266 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3267 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3268 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3269 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3270 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3271 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3272 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3273 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3274 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3275 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3276 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3277 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3278 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3279 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3280 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3281 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3282 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3283 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3286 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3287 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3288 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3289 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3290 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3291 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3292 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3293 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3294 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3295 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3296 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3297 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3298 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3299 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3300 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3301 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3302 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3303 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3304 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3305 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3313 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3314 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3315 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3316 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3317 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3318 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3319 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3320 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3322 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3323 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3324 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3325 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3326 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3327 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3328 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3333 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3334 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3335 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3336 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3337 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3338 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3341 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3349 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3350 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3351 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3352 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3353 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3354 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3355 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3356 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3357 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3358 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3359 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3360 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3361 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3481 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3482 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3483 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3484 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3485 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3486 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3487 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3491 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3492 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3493 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3494 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3495 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3496 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3497 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3498 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3499 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3500 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3501 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3502 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3503 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3504 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3505 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3506 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3507 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3508 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3509 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3519 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3520 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3521 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3522 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3523 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3524 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3525 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3526 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3527 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3528 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3535 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3536 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3537 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3538 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3539 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3540 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3541 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3542 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3543 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3544 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3545 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3546 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3547 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3548 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3549 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3550 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3551 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3552 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3553 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3554 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3556 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3562 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3563 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3564 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3581 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3582 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3583 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_3595 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3596 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3597 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3598 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3599 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3600 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3601 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3602 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_3603 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_3604 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
