             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7024372      long    RASPA  jlu1218  R 5-18:49:44      1 qnode0470
           7024373      long    RASPA  jlu1218  R 5-18:49:44      1 qnode1172
           7024374      long    RASPA  jlu1218  R 5-18:49:44      1 qnode1172
           7024375      long    RASPA  jlu1218  R 5-18:49:44      1 qnode1172
           7024376      long    RASPA  jlu1218  R 5-18:49:44      1 qnode1172
           7024379      long    RASPA  jlu1218  R 5-18:49:44      1 qnode1172
           7023675      long    RASPA  jlu1218  R 5-18:57:51      1 qnode0459
           7023672      long    RASPA  jlu1218  R 5-19:00:39      1 qnode8136
           7024354      long    RASPA  jlu1218  R 5-18:51:58      1 qnode0418
           7024356      long    RASPA  jlu1218  R 5-18:51:58      1 qnode0434
           7024357      long    RASPA  jlu1218  R 5-18:51:58      1 qnode0466
           7024358      long    RASPA  jlu1218  R 5-18:51:58      1 qnode0470
           7024359      long    RASPA  jlu1218  R 5-18:51:58      1 qnode0521
           7024360      long    RASPA  jlu1218  R 5-18:51:58      1 qnode1157
           7024361      long    RASPA  jlu1218  R 5-18:51:58      1 qnode1157
           7024362      long    RASPA  jlu1218  R 5-18:51:58      1 qnode1238
           7024363      long    RASPA  jlu1218  R 5-18:51:58      1 qnode1250
           7024364      long    RASPA  jlu1218  R 5-18:51:58      1 qnode1250
           7023671      long    RASPA  jlu1218  R 5-19:09:36      1 qnode0713
           7023665      long    RASPA  jlu1218  R 5-19:13:59      1 qnode8136
           7023666      long    RASPA  jlu1218  R 5-19:13:59      1 qnode8136
           7023667      long    RASPA  jlu1218  R 5-19:13:59      1 qnode8136
           7023668      long    RASPA  jlu1218  R 5-19:13:59      1 qnode0531
           7023669      long    RASPA  jlu1218  R 5-19:13:59      1 qnode0531
           7023670      long    RASPA  jlu1218  R 5-19:13:59      1 qnode0531
           7037025      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8010
           7037026      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8123
           7037027      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037028      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037029      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037030      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037031      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037032      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037033      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037034      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037036      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037037      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037038      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037039      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037040      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037041      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037042      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7037043      long    RASPA  jlu1218  R 5-17:13:45      1 qnode8125
           7023664      long    RASPA  jlu1218  R 5-19:17:27      1 qnode0452
           7023655      long    RASPA  jlu1218  R 5-19:19:17      1 qnode8004
           7023656      long    RASPA  jlu1218  R 5-19:19:17      1 qnode8136
           7023657      long    RASPA  jlu1218  R 5-19:19:17      1 qnode8136
           7023658      long    RASPA  jlu1218  R 5-19:19:17      1 qnode0387
           7023659      long    RASPA  jlu1218  R 5-19:19:17      1 qnode0418
           7023660      long    RASPA  jlu1218  R 5-19:19:17      1 qnode0421
           7023661      long    RASPA  jlu1218  R 5-19:19:17      1 qnode0421
           7023662      long    RASPA  jlu1218  R 5-19:19:17      1 qnode0463
           7023663      long    RASPA  jlu1218  R 5-19:19:17      1 qnode0539
           7241688      long filename  xwb7910  R 2-06:54:48      8 qnode[0389,0394,0465,0470,1146-1147,1168-1169]
           7244164      long      w30  jjg9482  R 1-17:11:42      8 qnode[0428,0459,0525,1141,1163,1239,1258,1268]
           6777766      long n-c erat  jjg9482  R 6-16:52:22      4 qnode[0433,0454,0522,1255]
           6777658      long full-len  jjg9482  R 6-16:55:16      4 qnode[0408,0419,0464,1169]
           6777597      long cYtoS-cY  jjg9482  R 6-17:38:25      4 qnode[0405,0510,1146,1151]
           6777557      long c-c erat  jjg9482  R 6-18:24:13      4 qnode[0402,0404,0411,0507]
           6777206      long nKRtoSS-  jjg9482  R 6-20:47:48      4 qnode[1138,1147,1156,1268]
           7118794      long 20230406  mjm1172  R 4-17:25:50      2 qnode[0398,1250]
           7118786      long 20230406  mjm1172  R 4-17:33:47      1 qnode0415
           7118776      long 20230406  mjm1172  R 4-17:36:39      1 qnode1141
           7118779      long 20230406  mjm1172  R 4-17:36:39      2 qnode[0506,0542]
           7118765      long 20230406  mjm1172  R 4-17:39:51      3 qnode[0709-0710,8011]
           7118768      long 20230406  mjm1172  R 4-17:39:51      2 qnode[0407,1137]
           7118773      long 20230406  mjm1172  R 4-17:39:51      5 qnode[0497,0517,1137-1138,8011]
           7312304      long ox_solub  nsr0404  R   12:37:07      6 qnode[1150-1151,8001-8004]
           7312298      long ox_solub  nsr0404  R   13:49:24      6 qnode[1243,1266,8130-8131,8133-8134]
           7312300      long ox_solub  nsr0404  R   13:49:24      6 qnode[0470,1157-1158,8003-8004,8131]
           7312301      long ox_solub  nsr0404  R   13:49:24      6 qnode[0391,0410,0459-0460,0463,1154]
           7312302      long ox_solub  nsr0404  R   13:49:24      6 qnode[0375,0529,1170,1243,8121-8122]
           7312303      long ox_solub  nsr0404  R   13:49:24      6 qnode[0398,0514,0539,0548,0702,0713]
           7312295      long ox_solub  nsr0404  R   14:28:07      6 qnode[0514-0515,0543,1158,1259,1264]
           7004324      long        1  iap0001  R 5-22:14:52      1 qnode8003
           7004325      long        1  iap0001  R 5-22:14:52      1 qnode8003
           7004326      long        1  iap0001  R 5-22:14:52      1 qnode8003
        7299525_12      long b_data_7  mmo5128  R 1-10:32:17      1 qnode1147
         7299525_1      long b_data_7  mmo5128  R 1-10:33:02      1 qnode0522
         7299525_2      long b_data_7  mmo5128  R 1-10:33:02      1 qnode0522
         7299525_3      long b_data_7  mmo5128  R 1-10:33:02      1 qnode0522
         7299525_4      long b_data_7  mmo5128  R 1-10:33:02      1 qnode1258
         7299525_5      long b_data_7  mmo5128  R 1-10:33:02      1 qnode1258
         7299525_6      long b_data_7  mmo5128  R 1-10:33:02      1 qnode1258
         7299525_7      long b_data_7  mmo5128  R 1-10:33:02      1 qnode0466
         7299525_8      long b_data_7  mmo5128  R 1-10:33:02      1 qnode0466
